"construct","item","n","mean","sd","min","median","max"
"Flexibility","FL1",226,4.858,1.514,1,5,7
"Flexibility","FL2",226,4.903,1.451,1,5,7
"Flexibility","FL3",226,4.677,1.534,1,5,7
"PerformanceExpectancy","PE1",226,4.681,1.59,1,5,7
"PerformanceExpectancy","PE2",226,4.407,1.57,1,5,7
"PerformanceExpectancy","PE3",226,4.704,1.542,1,5,7
"EffortExpectancy","EE1",226,4.774,1.429,1,5,7
"EffortExpectancy","EE2",226,4.695,1.356,1,5,7
"EffortExpectancy","EE3",226,4.872,1.345,1,5,7
"EffortExpectancy","EE4",226,4.991,1.333,2,5,7
"PerceivedAutonomy","PA1",226,4.442,1.475,1,5,7
"PerceivedAutonomy","PA2",226,4.513,1.431,1,5,7
"PerceivedAutonomy","PA3",226,4.765,1.406,1,5,7
"PerceivedCompetence","PC1",226,5.018,1.343,1,5,7
"PerceivedCompetence","PC2",226,5.071,1.311,1,5,7
"PerceivedCompetence","PC3",226,4.681,1.447,1,5,7
"PerceivedRelatedness","PRE1",226,4.615,1.574,1,5,7
"PerceivedRelatedness","PRE3",226,4.447,1.439,1,5,7
"PerceivedUsefulness","PU1",226,4.938,1.206,1,5,7
"PerceivedUsefulness","PU2",226,4.385,1.401,1,5,7
"PerceivedUsefulness","PU3",226,4.85,1.277,1,5,7
"Attitude","AT1",226,4.704,1.709,1,5,7
"Attitude","AT2",226,4.642,1.689,1,5,7
"Attitude","AT3",226,4.619,1.596,1,5,7
"Attitude","AT4",226,4.602,1.71,1,5,7
"IntentionToAdopt","IA1",226,4.42,1.513,1,5,7
"IntentionToAdopt","IA2",226,4.434,1.554,1,4,7
"IntentionToAdopt","IA3",226,4.23,1.569,1,4,7
