"construct","item","loading"
"Flexibility","FL1",0.559
"Flexibility","FL2",0.592
"Flexibility","FL3",0.581
"PerformanceExpectancy","PE1",0.592
"PerformanceExpectancy","PE2",0.557
"PerformanceExpectancy","PE3",0.583
"EffortExpectancy","EE1",0.476
"EffortExpectancy","EE2",0.51
"EffortExpectancy","EE3",0.505
"EffortExpectancy","EE4",0.509
"PerceivedAutonomy","PA1",0.608
"PerceivedAutonomy","PA2",0.586
"PerceivedAutonomy","PA3",0.535
"PerceivedCompetence","PC1",0.617
"PerceivedCompetence","PC2",0.621
"PerceivedCompetence","PC3",0.483
"PerceivedRelatedness","PRE1",0.707
"PerceivedRelatedness","PRE3",0.707
"PerceivedUsefulness","PU1",0.575
"PerceivedUsefulness","PU2",0.552
"PerceivedUsefulness","PU3",0.603
"Attitude","AT1",0.501
"Attitude","AT2",0.515
"Attitude","AT3",0.493
"Attitude","AT4",0.49
"IntentionToAdopt","IA1",0.583
"IntentionToAdopt","IA2",0.585
"IntentionToAdopt","IA3",0.564
