"segment","coef","post.mean","post.sd","q05","q50","q95","P.gt0"
"Seg1","(Intercept)",0.048,0.119,-0.147,0.048,0.245,0.657
"Seg2","(Intercept)",0.012,0.129,-0.199,0.013,0.223,0.536
"Seg3","(Intercept)",0.272,0.381,-0.344,0.264,0.919,0.759
"Seg1","Flexibility",0.006,0.15,-0.243,0.005,0.25,0.514
"Seg2","Flexibility",-0.043,0.077,-0.168,-0.043,0.084,0.292
"Seg3","Flexibility",0.404,0.302,-0.085,0.398,0.906,0.915
"Seg1","PerformanceExpectancy",0.28,0.15,0.03,0.279,0.526,0.969
"Seg2","PerformanceExpectancy",0.177,0.08,0.044,0.177,0.309,0.986
"Seg3","PerformanceExpectancy",0.22,0.34,-0.34,0.219,0.78,0.748
"Seg1","EffortExpectancy",0.078,0.138,-0.148,0.079,0.309,0.716
"Seg2","EffortExpectancy",0.092,0.067,-0.016,0.092,0.202,0.919
"Seg3","EffortExpectancy",0.063,0.277,-0.382,0.065,0.515,0.591
"Seg1","PerceivedAutonomy",-0.024,0.129,-0.236,-0.024,0.189,0.43
"Seg2","PerceivedAutonomy",0.092,0.074,-0.031,0.091,0.214,0.894
"Seg3","PerceivedAutonomy",0.123,0.286,-0.338,0.119,0.598,0.665
"Seg1","PerceivedCompetence",-0.056,0.132,-0.273,-0.055,0.157,0.334
"Seg2","PerceivedCompetence",-0.012,0.079,-0.14,-0.011,0.117,0.439
"Seg3","PerceivedCompetence",0.034,0.266,-0.401,0.034,0.47,0.548
"Seg1","PerceivedRelatedness",0.111,0.149,-0.136,0.112,0.355,0.777
"Seg2","PerceivedRelatedness",0.087,0.085,-0.052,0.086,0.227,0.846
"Seg3","PerceivedRelatedness",0.04,0.292,-0.44,0.043,0.516,0.556
"Seg1","PerceivedUsefulness",0.28,0.141,0.05,0.28,0.513,0.977
"Seg2","PerceivedUsefulness",0.126,0.082,-0.009,0.126,0.259,0.94
"Seg3","PerceivedUsefulness",0.021,0.28,-0.442,0.022,0.49,0.532
"Seg1","Attitude",0.249,0.124,0.047,0.248,0.454,0.979
"Seg2","Attitude",0.437,0.068,0.326,0.436,0.549,1
"Seg3","Attitude",-0.042,0.279,-0.502,-0.037,0.407,0.446
